userID,ISBN,bookRating
718,0805057706,10
172,0345342968,9
128,0679450408,6
400,0679767800,7
237,0385424736,9
600,0811811409,10
516,0440213320,7
675,034543739X,7
123,0316769487,6
319,0385484518,7
653,0385484518,8
36,0374266441,9
447,0385484518,10
431,037308935X,8
377,0399145060,5
283,0060551895,5
628,042513525X,5
55,8423322912,5
509,0394895894,8
636,0316769487,9
379,0446527165,8
198,0060915544,10
375,0316769487,7
475,0312312628,9
85,0316769487,10
373,0679410430,10
629,0345358791,5
434,051509465X,9
29,0851707777,9
186,0375726322,8
573,089480829X,10
609,0525237704,7
536,0060915544,10
160,8420444782,4
740,089480829X,7
99,038076735X,7
365,1551666200,9
393,0345342968,10
671,0385484518,8
410,0890876096,8
405,0912365579,10
629,1577310454,10
747,0471485527,10
399,0385424736,7
672,034528710X,10
157,042516540X,8
778,0451455789,9
791,0812579569,7
415,0425052990,4
717,0671795988,7
796,080213825X,5
240,0385484518,8
318,044651652X,3
791,044651652X,10
17,0312135653,6
491,0446679763,6
417,0060915544,8
359,0679414614,9
391,042513525X,7
530,0385484518,8
135,1558506462,5
727,0440225639,7
218,044651652X,7
353,042513024X,8
69,227724113X,2
134,0060915544,8
335,0385484518,7
286,0696010976,6
93,076110481X,9
391,0679450408,4
661,006019295X,7
186,0345342968,8
453,0553801945,8
528,1563898586,8
451,1573222127,8
661,0060915544,9
642,0385484518,10
788,0385484518,6
95,0679404864,8
145,156833186X,5
381,0375406182,9
540,0006372570,5
201,0345342968,10
10,089480829X,7
640,1856975770,10
747,0380978954,8
317,0671727184,7
361,080213825X,6
788,0375410198,10
282,0345342968,8
217,0807115258,5
681,0316769487,3
24,044021632X,5
344,0316769487,7
447,0399138013,8
185,0922233209,7
85,080213825X,8
619,0670272663,10
324,0684868865,8
726,044651652X,5
668,080213825X,8
400,0060915544,9
112,0060192704,10
398,1573222127,8
162,0864693257,7
645,0440505941,7
97,0679723439,8
795,089480829X,8
609,1555971148,8
212,0316769487,8
335,2226116745,8
752,0316602051,7
102,0679413138,10
378,0812579569,8
407,0938317288,5
137,051513306X,8
781,0385484518,10
255,0316769487,3
395,0807072125,8
5,156931778X,10
769,1591161258,10
477,0060915544,9
132,0688169082,5
648,076530418X,10
659,0671016733,8
1,1555971148,5
355,0679449434,8
302,0316769487,9
668,0060915544,10
582,0515133620,8
581,0043720455,8
212,0060005424,10
513,0061032069,8
581,0064406768,10
116,006621288X,10
235,0070531811,5
261,014024669X,6
332,034543739X,10
688,0374292817,7
63,0375406182,8
456,0375422188,9
778,038079005X,8
634,0385424736,8
169,0385484518,9
119,039304632X,7
384,0394587618,8
414,0395353009,8
145,042511984X,8
630,042513525X,8
677,0425148297,10
551,044100508X,8
538,0441225497,5
715,044651652X,8
524,0446527165,9
727,044661064X,10
711,0449211673,3
416,0451455789,8
333,0486270661,10
499,0517704927,7
91,0525237704,10
752,0525467696,8
30,0590877437,5
372,067102096X,10
46,0671556029,10
675,067187263X,7
204,0679450408,9
172,080213825X,3
378,0811811409,10
263,081257995X,8
532,0812694333,7
349,082890491X,7
64,086272807X,7
260,140003163X,5
226,1551664364,8
17,1562925474,8
632,156326255X,7
